"osm_id","name","road_type","surface","length_km","speed_kmh","cost_per_tkm","volume_tonnes","classe_trafic","volume_camionnette","volume_camion_moyen","volume_camion_lourd","part_camion_lourd","vol_t_Agriculture","vol_t_Mines","vol_t_Agro_industrie","vol_t_Industrie","vol_t_Construction","vol_t_Commerce","vol_t_Transport","vol_t_Services"
"25796291",NA,"secondary","paved",0.00905555116735821,37.5,0.079,0,"Aucun",0,0,0,0,0,0,0,0,0,0,0,0
"25796292",NA,"trunk","paved",0.936164452101304,54,0.0625185185185185,14023.7610503385,"Moyen",0,0,14023.7610503385,100,1539.21090998357,1589.45407978018,3688.67884256006,2151.29101541768,1069.97899720605,2915.60482524972,654.778605180261,414.763774960971
"25796292",NA,"trunk","paved",0.674819086936371,54,0.0625185185185185,14023.7610503385,"Moyen",0,0,14023.7610503385,100,1539.21090998357,1589.45407978018,3688.67884256006,2151.29101541768,1069.97899720605,2915.60482524972,654.778605180261,414.763774960971
"25796292",NA,"trunk","paved",0.0779627701755203,45,0.0662222222222222,14023.7610503385,"Moyen",0,0,14023.7610503385,100,1539.21090998357,1589.45407978018,3688.67884256006,2151.29101541768,1069.97899720605,2915.60482524972,654.778605180261,414.763774960971
"25796292",NA,"trunk","paved",2.29831836259193,60,0.0606666666666667,14023.7610503385,"Moyen",0,0,14023.7610503385,100,1539.21090998357,1589.45407978018,3688.67884256006,2151.29101541768,1069.97899720605,2915.60482524972,654.778605180261,414.763774960971
"25796292",NA,"trunk","paved",1.79943984258409,54,0.0641540514059902,14023.7610503385,"Moyen",0,0,14023.7610503385,100,1539.21090998357,1589.45407978018,3688.67884256006,2151.29101541768,1069.97899720605,2915.60482524972,654.778605180261,414.763774960971
"25796292",NA,"trunk","paved",0.928836658133299,60,0.0614747259371338,13307.709759558,"Moyen",0,0,13307.709759558,100,1522.82323961298,1419.39539829714,3576.4492068288,1838.20197316953,1025.90648604589,2874.11854583712,636.051134805521,414.763774960971
"25796292",NA,"trunk","paved",1.01722348894134,54,0.0625185185185185,13307.709759558,"Moyen",0,0,13307.709759558,100,1522.82323961298,1419.39539829714,3576.4492068288,1838.20197316953,1025.90648604589,2874.11854583712,636.051134805521,414.763774960971
"25796292",NA,"trunk","paved",0.996271613470582,60,0.0607198734327913,13307.709759558,"Moyen",0,0,13307.709759558,100,1522.82323961298,1419.39539829714,3576.4492068288,1838.20197316953,1025.90648604589,2874.11854583712,636.051134805521,414.763774960971
"25796292",NA,"trunk","paved",0.416523774360542,60,0.0616221633169446,13307.709759558,"Moyen",0,0,13307.709759558,100,1522.82323961298,1419.39539829714,3576.4492068288,1838.20197316953,1025.90648604589,2874.11854583712,636.051134805521,414.763774960971
