id_origine,id_destination,nom_origine,nom_destination,cout_usd,distance_km,temps_h,vehicule_depart,vehicule_arrivee,n_transbordements
1,37,Nyanza,Ruganda (OSM),5.729875678959043,116.35102330329977,3.1825263741414638,camion_lourd,camion_lourd,0
1,38,Nyanza,Nyacyonga (OSM),4.2248652507294455,98.0096547693323,2.2403690916838706,camion_lourd,camion_lourd,0
1,39,Nyanza,Rukoli (OSM),6.134992338568245,103.37427735150692,3.9198112368355766,camion_lourd,camion_lourd,0
1,40,Nyanza,Rubavu - Centre Ouest,8.575880975238327,178.3178610348025,4.780455279468319,camion_lourd,camion_lourd,0
1,41,Nyanza,Zone industrielle 5,8.699242564360745,181.54068993444778,4.85383601990946,camion_lourd,camion_lourd,0
1,42,Nyanza,Zone industrielle 10,8.230031651511359,167.24948664722262,4.94541164397702,camion_lourd,camion_lourd,0
1,43,Nyanza,Zone industrielle 8,8.568067937697203,158.06740341440738,4.816503402586276,camion_lourd,camion_lourd,0
1,44,Nyanza,Rusizi - Centre Sud-Ouest,7.5241626678581515,133.72971273424136,4.346695183159601,camion_lourd,camion_lourd,0
1,45,Nyanza,Rugaragara (OSM),9.209696805642825,157.97509108750842,5.22717986969748,camion_lourd,camion_lourd,0
1,46,Nyanza,Rusizi (OSM),8.092588634927134,149.241654602667,4.558388408097298,camion_lourd,camion_lourd,0
1,47,Nyanza,Rwamagana,7.4729873935461395,149.52950741949059,4.426897603935671,camion_lourd,camion_lourd,0
1,48,Nyanza,Rukara (OSM),8.46453619614322,178.06147472485466,4.596267541380944,camion_lourd,camion_lourd,0
1,49,Nyanza,Musasa (OSM),5.4285463783909504,95.33305071739059,3.2139671033599084,camion_lourd,camion_lourd,0
1,50,Nyanza,Kigali - Hub Central,4.02257794120506,91.47605073488558,2.1346107263334884,camion_lourd,camion_lourd,0
1,51,Nyanza,Kigali - Marché Kimisagara,4.056234637721123,91.5615313516454,2.1435543198718845,camion_lourd,camion_lourd,0
1,52,Nyanza,Sake (OSM),5.191346466383505,106.97453706373705,2.711150245168416,camion_lourd,camion_lourd,0
1,53,Nyanza,Nyamagabe (OSM),2.1596575296845906,30.964497361029927,1.308474138368039,camion_lourd,camion_lourd,0
1,54,Nyanza,Nstinda (OSM),6.970871402446462,147.6673626141307,3.8458167836269705,camion_lourd,camion_lourd,0
1,55,Nyanza,Muhazi (OSM),7.230464910502003,154.26461049223866,3.9777617411891297,camion_lourd,camion_lourd,0
1,56,Nyanza,Nyamirama (OSM),7.658337214450048,154.40860393440246,4.508151133790228,camion_lourd,camion_lourd,0
1,57,Nyanza,Ruramira (OSM),7.7595731477464085,156.72632787199856,4.582606774738911,camion_lourd,camion_lourd,0
1,58,Nyanza,Remera (OSM),7.310738628070699,141.1949029580621,3.8688445537163654,camion_lourd,camion_lourd,0
1,59,Nyanza,Kibungo (OSM),7.052329916125063,134.48298836207155,3.7346062617965545,camion_lourd,camion_lourd,0
1,60,Nyanza,Nyagatare (OSM),9.900264623849866,212.74547372373712,5.357717828619024,camion_lourd,camion_lourd,0
1,61,Nyanza,Muhanga,1.8552287527196514,42.387627052283314,1.0063289478716053,camion_lourd,camion_lourd,0
1,62,Nyanza,Kigoma (OSM),0.1660049375458842,3.6650108723737396,0.07749522669397547,camion_lourd,camion_lourd,0
1,63,Nyanza,Rwabutazi (OSM),7.68625170522732,138.6540411508752,4.5768886944198535,camion_lourd,camion_lourd,0
1,64,Nyanza,Butezi (OSM),7.547949252009134,137.2215276100996,4.319068169231852,camion_lourd,camion_lourd,0
1,65,Nyanza,Cumbati (OSM),7.399890471497943,134.630146509994,4.332435117236153,camion_lourd,camion_lourd,0
1,66,Nyanza,Gahara (OSM),6.963456727826893,129.21831591922367,4.002717672607018,camion_lourd,camion_lourd,0
1,67,Nyanza,Rukomo (OSM),5.904468223145698,137.23359060610704,3.1758516868474063,camion_lourd,camion_lourd,0
1,68,Nyanza,Gatuna (OSM),6.980409337129437,164.76598526643366,3.7560633525540603,camion_lourd,camion_lourd,0
1,69,Nyanza,Zone industrielle 14,4.822362897910456,104.90680579491669,2.5641150269997284,camion_lourd,camion_lourd,0
1,70,Nyanza,Kabaya (OSM),5.4624163231705785,119.24663266766801,3.081219865271321,camion_lourd,camion_lourd,0
1,71,Nyanza,Rukumberi (OSM),4.592092134111455,98.7183549558793,2.435944174906491,camion_lourd,camion_lourd,0
1,72,Nyanza,Zone industrielle 16,10.384202304073968,185.82764819705338,5.752460802478577,camion_lourd,camion_lourd,0
1,73,Nyanza,Rugendabari (OSM),3.141547937220265,71.85336673449959,1.6897736329366433,camion_lourd,camion_lourd,0
1,74,Nyanza,Nyagasambu (OSM),5.967062959823354,126.45921208189407,3.162026055106671,camion_lourd,camion_lourd,0
1,75,Nyanza,Nyakarambi (OSM),8.471771406006516,156.0096575459444,4.9938515281194835,camion_lourd,camion_lourd,0
1,76,Nyanza,Buhanda (OSM),1.5388716176221007,22.971468547751105,0.8063632901774727,camion_lourd,camion_lourd,0
1,77,Nyanza,Frontière Bugarama (Burundi),9.841256465454176,161.23285267308813,5.77116753977372,camion_lourd,camion_lourd,0
1,78,Nyanza,Frontière Rubavu/Goma (RDC),8.541914568957107,177.60533290249805,4.76620471682223,camion_lourd,camion_lourd,0
1,79,Nyanza,Ruhango (OSM),0.7291495337947271,17.259495774461808,0.3726279664652118,camion_lourd,camion_lourd,0
1,80,Nyanza,Karondo (OSM),5.670032126719729,121.70351642219687,3.017874816842204,camion_lourd,camion_lourd,0
1,81,Nyanza,Kajevuba (OSM),4.767602547459402,110.71349133676372,2.520437528901893,camion_lourd,camion_lourd,0
1,82,Nyanza,Ntunga (OSM),6.416371687837235,134.81139269960912,3.546378243066035,camion_lourd,camion_lourd,0
1,83,Nyanza,Kibuye (OSM),5.370392091622773,81.72896009534774,2.966238546253625,camion_lourd,camion_lourd,0
1,84,Nyanza,Masaka (OSM),5.041902310916887,110.41734837506233,2.7013566661707045,camion_lourd,camion_lourd,0
1,85,Nyanza,Cyamutara (OSM),4.9053224426906,114.24360907392898,2.5921953755100913,camion_lourd,camion_lourd,0
